Country,Code,Year,Gini_index,Inflation,GDP_per_capita,Unemployment
Armenia,ARM,2001,35.4,3.1459046468502,659.588988535629,35.964
Armenia,ARM,2002,34.8,1.06004929341667,742.651118319819,17.5045
Armenia,ARM,2003,33,4.7215533660534,882.030167695474,17.5045
Armenia,ARM,2004,37.5,6.96126135875795,1130.08791444158,17.5045
Armenia,ARM,2005,36,0.638928002410097,1557.48458908655,17.5045
Armenia,ARM,2006,29.7,2.89235662459004,2041.65267068997,17.5045
Armenia,ARM,2007,31.2,4.40736089644516,2962.70234594569,10.394
Armenia,ARM,2008,29.2,8.94995335353387,3777.66859313767,22.974
Armenia,ARM,2009,28,3.40676682683801,2820.5926553347,19.295
Armenia,ARM,2010,30,8.17636138473952,3041.34450723339,19.523
Armenia,ARM,2011,29.4,7.65000807859294,3349.55309771906,18.884
Armenia,ARM,2012,29.6,2.55802007757907,3511.56399687426,17.511
Armenia,ARM,2013,30.6,5.78966778544651,3680.16692158886,16.576
Armenia,ARM,2014,31.5,2.98130868933672,3852.11800610384,17.498
Armenia,ARM,2015,32.4,3.73169119261693,3512.39350276709,18.261
Armenia,ARM,2016,32.5,-1.403607559009,3524.42476874707,17.617
Armenia,ARM,2017,33.6,0.969553268816138,3869.05373867752,17.704
Armenia,ARM,2018,34.4,2.52023382001638,4196.00562301769,10.589
Armenia,ARM,2019,30,1.44344660770698,4597.22887399548,9.794
Armenia,ARM,2020,25.1,1.21143577838465,4268.68093304583,8.055
Armenia,ARM,2021,27.9,7.18483629443371,4685.17997128509,8.418
Armenia,ARM,2022,27.9,8.64091108973855,6571.97445545099,8.262
Armenia,ARM,2023,27.2,1.98041877615554,8159.08720967996,8.298
Azerbaijan,AZE,2001,36.5,1.5471959015228,703.670998584686,10.91
Azerbaijan,AZE,2002,25.3,2.7711647199827,763.108895463487,10.04
Azerbaijan,AZE,2003,26.8,2.2338649296705,883.692580745256,9.17
Azerbaijan,AZE,2004,26.6,6.70893042797784,1045.0136328106,7.99
Azerbaijan,AZE,2005,26.6,9.67950731917057,1578.36733030667,7.26
Bangladesh,BGD,2005,33.2,7.04661816222039,480.08585075452,4.25
Bangladesh,BGD,2010,32.1,8.12667639169917,757.385280361508,3.379
Bangladesh,BGD,2016,32.4,5.51352572692995,1649.28380858601,4.35
Bangladesh,BGD,2022,30.9,7.69695437176898,2716.48592780431,4.593
Bhutan,BTN,2003,40.9,2.57230861693339,1022.38240311018,1.8
Bhutan,BTN,2007,38.1,5.15611138758463,1850.41570433398,3.7
Bhutan,BTN,2012,38.8,10.919656944683,2751.2128864294,2.05
